"pictureID","pathWhereItsNotFound","newPath"
36098,thumbnails/912/36098_t.jpeg,thumbnails/8/36098_t.jpeg
36098,previews/912/36098_s.jpeg,previews/8/36098_s.jpeg
36354,thumbnails/1212/36354_t.jpeg,thumbnails/8/36354_t.jpeg
36354,images/1212/36354.tif,images/1167/36354.tif
36354,previews/1212/36354_s.jpeg,previews/8/36354_s.jpeg
36354,thumbnails/1212/36354_t.jpeg,thumbnails/1167/36354_t.jpeg
36354,previews/1212/36354_s.jpeg,previews/1167/36354_s.jpeg
36610,previews/1512/36610_s.jpeg,previews/1423/36610_s.jpeg
36610,previews/1512/36610_s.jpeg,previews/8/36610_s.jpeg
36610,images/1512/36610.tif,images/1423/36610.tif
36610,thumbnails/1512/36610_t.jpeg,thumbnails/1423/36610_t.jpeg
36610,thumbnails/1512/36610_t.jpeg,thumbnails/8/36610_t.jpeg
36866,thumbnails/1713/36866_t.jpeg,thumbnails/8/36866_t.jpeg
36866,previews/1713/36866_s.jpeg,previews/8/36866_s.jpeg
36866,images/1713/36866.tif,images/1679/36866.tif
36866,thumbnails/1713/36866_t.jpeg,thumbnails/1679/36866_t.jpeg
36866,previews/1713/36866_s.jpeg,previews/1679/36866_s.jpeg
37122,thumbnails/2013/37122_t.jpeg,thumbnails/8/37122_t.jpeg
37122,previews/2013/37122_s.jpeg,previews/1935/37122_s.jpeg
37122,previews/2013/37122_s.jpeg,previews/8/37122_s.jpeg
37122,thumbnails/2013/37122_t.jpeg,thumbnails/1935/37122_t.jpeg
37122,images/2013/37122.tif,images/1935/37122.tif
37378,thumbnails/2213/37378_t.jpeg,thumbnails/2191/37378_t.jpeg
37378,images/2213/37378.tif,images/2191/37378.tif
37378,previews/2213/37378_s.jpeg,previews/8/37378_s.jpeg
37378,previews/2213/37378_s.jpeg,previews/2191/37378_s.jpeg
37378,thumbnails/2213/37378_t.jpeg,thumbnails/8/37378_t.jpeg
37634,images/2483/37634.tif,images/2447/37634.tif
37634,thumbnails/2483/37634_t.jpeg,thumbnails/9/37634_t.jpeg
37634,previews/2483/37634_s.jpeg,previews/2447/37634_s.jpeg
37634,thumbnails/2483/37634_t.jpeg,thumbnails/2447/37634_t.jpeg
37634,previews/2483/37634_s.jpeg,previews/9/37634_s.jpeg
37890,thumbnails/2713/37890_t.jpeg,thumbnails/9/37890_t.jpeg
37890,images/2713/37890.tif,images/2703/37890.tif
37890,previews/2713/37890_s.jpeg,previews/9/37890_s.jpeg
37890,previews/2713/37890_s.jpeg,previews/2703/37890_s.jpeg
